,accession,maturity_height_type,Block,Row,Col,Plot,Trt,DOY186,DOY193,DOY200,DOY207,DOY208,DOY209,DOY210,DOY215,DOY216,DOY217,DOY221,DOY223,DOY224,DOY229,DOY231,DOY236,DOY241,DOY252,DOY266,Heading10%,Heading50,Heading90
3033,PI 595718,Type3,4,12,6,41206,LN,NA,NA,0,NA,80,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,205,212
3303,PI 597972,Type3,4,13,6,41306,LN,NA,NA,0,NA,85,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,205,211
3573,PI 595741,Type3,4,14,6,41406,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
3843,PI 595745,Type3,4,15,6,41506,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,210,216,224
4114,PI 534123,Type3,4,16,6,41606,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,60,100,NA,NA,NA,218,224,235
714,PI 659691,Type1,4,1,7,40107,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,90,NA,NA,232,236,241
3414,PI 656058,Type1,4,2,7,40207,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,210,217,223
615,check,Check,4,3,7,40307,LN,NA,NA,0,NA,10,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,208,212,217
883,check,Check,4,4,7,40407,LN,NA,NA,0,NA,5,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
1153,PI 656071,Type1,4,5,7,40507,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,20,NA,NA,80,NA,90,NA,NA,NA,NA,212,220,231
1423,PI 656027,Type1,4,6,7,40607,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,20,NA,NA,50,NA,100,NA,NA,NA,NA,212,224,230
1693,PI 653616,Type1,4,7,7,40707,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,100,NA,NA,NA,225,231,235
1963,PI 656075,Type1,4,8,7,40807,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,70,100,NA,NA,NA,225,229,234
2233,PI 655985,Type3,4,9,7,40907,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,75,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,221
2503,PI 656116,Type3,4,10,7,41007,LN,NA,NA,0,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
2773,PI 552856,Type3,4,11,7,41107,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,30,NA,90,NA,NA,NA,NA,217,226,231
3043,PI 656121,Type3,4,12,7,41207,LN,NA,NA,0,NA,70,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,206,214
3315,PI 656020,Type3,4,13,7,41307,LN,NA,NA,0,NA,80,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,205,212
3583,PI 656098,Type3,4,14,7,41407,LN,NA,NA,0,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
3853,PI 653617,Type3,4,15,7,41507,LN,NA,NA,0,NA,20,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,211,216
4123,PI 656119,Type3,4,16,7,41607,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
814,PI 656100,Type1,4,1,8,40108,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,210,217,223
3514,PI 656118,Type1,4,2,8,40208,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,90,NA,NA,NA,NA,NA,NA,218,221,224
623,PI 656031,Type1,4,3,8,40308,LN,NA,NA,0,NA,10,NA,NA,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,208,215,222
893,PI 656056,Type1,4,4,8,40408,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,60,NA,90,NA,NA,NA,NA,218,223,231
1163,PI 641836,Type1,4,5,8,40508,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,80,100,NA,NA,226,233,238
1433,PI 656093,Type1,4,6,8,40608,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
1703,PI 656079,Type1,4,7,8,40708,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,222
1973,PI 656059,Type1,4,8,8,40808,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,30,NA,90,NA,NA,NA,NA,217,226,231
2243,PI 656025,Type3,4,9,8,40908,LN,NA,NA,0,NA,30,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,211,217
2514,PI 659693,Type3,4,10,8,41008,LN,NA,NA,0,NA,80,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,205,212
2783,PI 656112,Type3,4,11,8,41108,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
3053,check,Check,4,12,8,41208,LN,NA,NA,0,NA,5,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,220
3323,PI 656087,Type3,4,13,8,41308,LN,NA,NA,0,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
3593,PI 656120,Type3,4,14,8,41408,LN,NA,NA,0,NA,70,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,206,214
3863,PI 656055,Type3,4,15,8,41508,LN,NA,NA,0,NA,30,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,203,211,217
4133,PI 656019,Type3,4,16,8,41608,LN,NA,NA,0,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,207
914,PI 655984,Type1,4,1,9,40109,LN,NA,NA,0,NA,10,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
3614,PI 656097,Type1,4,2,9,40209,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,20,NA,NA,90,NA,NA,NA,NA,NA,NA,212,220,224
633,PI 641824,Type1,4,3,9,40309,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30,NA,80,100,NA,NA,NA,219,227,234
903,PI 566819,Type1,4,4,9,40409,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,90,100,NA,NA,232,234,236
1173,PI 656082,Type1,4,5,9,40509,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20,NA,80,90,NA,NA,NA,220,228,236
1443,PI 656018,Type1,4,6,9,40609,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,80,NA,100,NA,NA,NA,NA,210,217,228
1714,PI 656072,Type1,4,7,9,40709,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,100,NA,NA,232,237,240
1983,PI 659695,Type1,4,8,9,40809,LN,NA,NA,0,NA,15,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,205,213,224
2253,check,Check,4,9,9,40909,LN,NA,NA,0,NA,5,NA,NA,NA,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,209,213,217
2523,PI 656010,Type3,4,10,9,41009,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,40,NA,NA,90,NA,100,NA,NA,NA,NA,210,218,224
2793,PI 656105,Type3,4,11,9,41109,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
3063,PI 656104,Type3,4,12,9,41209,LN,NA,NA,0,NA,50,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,202,208,220
3333,PI 656101,Type3,4,13,9,41309,LN,NA,NA,0,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,207
3603,PI 656081,Type3,4,14,9,41409,LN,NA,NA,0,NA,40,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,210,216
3873,PI 655999,Type3,4,15,9,41509,LN,NA,NA,0,NA,10,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,208,214,224
4143,PI 656109,Type3,4,16,9,41609,LN,NA,NA,0,NA,60,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,207,215
1014,PI 533776,Type4,4,1,10,40110,LN,NA,NA,0,NA,50,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,202,208,217
3714,PI 533911,Type4,4,2,10,40210,LN,NA,NA,0,NA,20,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,211,216
643,PI 533759,Type4,4,3,10,40310,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
915,PI 533997,Type4,4,4,10,40410,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
1183,PI 533954,Type4,4,5,10,40510,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
1453,PI 533949,Type4,4,6,10,40610,LN,NA,NA,0,NA,80,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,205,212
1723,PI 533910,Type4,4,7,10,40710,LN,NA,NA,0,NA,50,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,202,208,217
1993,PI 533866,Type4,4,8,10,40810,LN,NA,NA,0,NA,70,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,206,214
2263,PI 533980,Type5,4,9,10,40910,LN,NA,NA,0,NA,5,NA,NA,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,222
2533,check,Check,4,10,10,41010,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
2803,PI 533755,Type5,4,11,10,41110,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
3073,PI 534009,Type5,4,12,10,41210,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,30,NA,50,80,90,NA,NA,217,231,241
3343,PI 534021,Type5,4,13,10,41310,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,20,NA,70,100,NA,NA,NA,220,228,234
3615,PI 534133,Type5,4,14,10,41410,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,30,NA,NA,100,NA,NA,NA,217,227,234
3883,PI 533831,Type5,4,15,10,41510,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
4153,PI 533903,Type5,4,16,10,41610,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,NA,80,NA,100,NA,NA,NA,NA,210,216,228
1115,check,Check,4,1,11,40111,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
3815,PI 533912,Type4,4,2,11,40211,LN,NA,NA,0,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,207
653,PI 533991,Type4,4,3,11,40311,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,220
923,PI 533750,Type4,4,4,11,40411,LN,NA,NA,0,NA,20,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,204,212,217
1193,PI 533830,Type4,4,5,11,40511,LN,NA,NA,0,NA,70,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,201,206,220
1463,PI 533758,Type4,4,6,11,40611,LN,NA,NA,0,NA,40,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,202,210,220
1733,PI 533986,Type4,4,7,11,40711,LN,NA,NA,0,NA,10,NA,NA,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,208,214,222
2003,PI 534037,Type4,4,8,11,40811,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
2273,PI 533814,Type5,4,9,11,40911,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,90,NA,NA,NA,NA,NA,NA,217,220,224
2543,PI 533962,Type5,4,10,11,41011,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,70,NA,100,NA,NA,NA,NA,217,222,229
2815,PI 533965,Type5,4,11,11,41111,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,20,NA,NA,60,NA,90,NA,NA,NA,NA,212,222,231
3083,PI 533998,Type5,4,12,11,41211,LN,NA,NA,0,NA,70,NA,NA,NA,NA,90,NA,NA,95,NA,100,NA,NA,NA,NA,201,206,217
3353,PI 534114,Type5,4,13,11,41311,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,210,217,223
3623,PI 533943,Type5,4,14,11,41411,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
3893,PI 533902,Type5,4,15,11,41511,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,100,NA,NA,NA,NA,219,225,230
4163,PI 533924,Type5,4,16,11,41611,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,60,NA,80,90,NA,NA,NA,218,223,236
1214,PI 533921,Type4,4,1,12,40112,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,90,NA,100,NA,NA,NA,NA,210,217,224
3914,PI 533955,Type4,4,2,12,40212,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
663,PI 533915,Type4,4,3,12,40312,LN,NA,NA,0,NA,50,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,202,208,217
933,check,Check,4,4,12,40412,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,220
1203,PI 533838,Type4,4,5,12,40512,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
1473,PI 533760,Type4,4,6,12,40612,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,210,217,223
1743,PI 534070,Type4,4,7,12,40712,LN,NA,NA,0,NA,80,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,205,212
2014,PI 533948,Type4,4,8,12,40812,LN,NA,NA,0,NA,5,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
2283,PI 533843,Type5,4,9,12,40912,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,213,217
2553,PI 533972,Type5,4,10,12,41012,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,90,NA,NA,NA,NA,218,224,231
2823,PI 534053,Type5,4,11,12,41112,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,80,NA,90,NA,NA,NA,NA,210,217,231
3093,check,Check,4,12,12,41212,LN,NA,NA,0,NA,5,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,209,213,224
3363,PI 533839,Type5,4,13,12,41312,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
3633,PI 533807,Type5,4,14,12,41412,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,5,NA,NA,60,NA,100,NA,NA,NA,NA,218,223,229
3903,PI 533800,Type5,4,15,12,41512,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,20,NA,NA,90,NA,NA,NA,NA,NA,NA,212,220,224
4173,PI 533863,Type5,4,16,12,41612,LN,NA,NA,0,NA,5,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
1314,PI 576425,Type4,4,1,13,40113,LN,NA,NA,0,NA,5,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
4014,PI 534115,Type4,4,2,13,40213,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
673,PI 576352,Type4,4,3,13,40313,LN,NA,NA,0,NA,5,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
943,PI 597982,Type4,4,4,13,40413,LN,NA,NA,0,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
1215,PI 534101,Type4,4,5,13,40513,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
1483,PI 597971,Type4,4,6,13,40613,LN,NA,NA,0,NA,30,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,211,216
1753,PI 597957,Type4,4,7,13,40713,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
2023,PI 595714,Type4,4,8,13,40813,LN,NA,NA,0,NA,5,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,220
2293,PI 597949,Type5,4,9,13,40913,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,30,NA,NA,50,NA,100,NA,NA,NA,NA,211,224,230
2563,check,Check,4,10,13,41013,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
2833,PI 656003,Type5,4,11,13,41113,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,222
3105,PI 595740,Type5,4,12,13,41213,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30,NA,100,NA,NA,NA,NA,219,226,230
3373,PI 576381,Type5,4,13,13,41313,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
3643,PI 585295,Type5,4,14,13,41413,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,75,90,NA,NA,NA,225,229,236
3915,PI 564165,Type5,4,15,13,41513,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,90,100,NA,NA,NA,219,225,231
4183,PI 576349,Type5,4,16,13,41613,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,40,NA,NA,50,NA,100,NA,NA,NA,NA,210,224,230
1415,PI 595720,Type4,4,1,14,40114,LN,NA,NA,0,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
4115,PI 597965,Type4,4,2,14,40214,LN,NA,NA,0,NA,30,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,203,211,217
683,PI 597952,Type4,4,3,14,40314,LN,NA,NA,0,NA,10,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,208,212,217
953,PI 534108,Type4,4,4,14,40414,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,95,NA,100,NA,NA,NA,NA,209,214,222
1223,PI 534124,Type4,4,5,14,40514,LN,NA,NA,0,NA,10,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
1493,PI 597968,Type4,4,6,14,40614,LN,NA,NA,0,NA,10,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,208,212,217
1763,PI 597958,Type4,4,7,14,40714,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,210,216,224
2033,PI 576394,Type4,4,8,14,40814,LN,NA,NA,0,NA,20,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,204,212,217
2303,PI 576396,Type5,4,9,14,40914,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,NA,218,220,223
2573,PI 629040,Type5,4,10,14,41014,LN,NA,NA,0,NA,10,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
2843,PI 576435,Type5,4,11,14,41114,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,NA,70,NA,90,NA,NA,NA,NA,210,216,231
3115,PI 534135,Type5,4,12,14,41214,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20,80,90,NA,NA,228,234,241
3383,PI 576348,Type5,4,13,14,41314,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,NA,30,100,NA,NA,NA,225,232,235
3653,PI 655996,Type5,4,14,14,41414,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,90,NA,NA,NA,NA,218,224,231
3923,PI 656002,Type5,4,15,14,41514,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,NA,218,220,223
4193,PI 595699,Type5,4,16,14,41614,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,80,NA,90,NA,NA,NA,NA,210,217,231
1514,PI 534105,Type4,4,1,15,40115,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
4214,PI 576364,Type4,4,2,15,40215,LN,NA,NA,0,NA,50,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,202,208,217
693,PI 629059,Type4,4,3,15,40315,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
963,PI 629034,Type4,4,4,15,40415,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,NA,210,218,224
1233,check,Check,4,5,15,40515,LN,NA,NA,0,NA,5,NA,NA,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,209,213,217
1503,check,Check,4,6,15,40615,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,213,217
1773,PI 576390,Type4,4,7,15,40715,LN,NA,NA,0,NA,90,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
2043,PI 576339,Type4,4,8,15,40815,LN,NA,NA,0,NA,70,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,206,214
2314,PI 656004,Type5,4,9,15,40915,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,210,217,224
2583,PI 576426,Type5,4,10,15,41015,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,30,NA,NA,90,NA,100,NA,NA,NA,NA,211,219,224
2853,PI 655975,Type5,4,11,15,41115,LN,NA,NA,0,NA,10,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,208,213,224
3123,PI 548797,Type5,4,12,15,41215,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,90,NA,NA,NA,NA,NA,NA,209,214,224
3393,check,Check,4,13,15,41315,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,210,216,224
3663,PI 576434,Type5,4,14,15,41415,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,80,NA,100,NA,NA,225,228,236
3933,PI 576340,Type5,4,15,15,41515,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,100,NA,NA,NA,209,213,217
4203,PI 595743,Type5,4,16,15,41615,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,80,NA,100,NA,NA,NA,NA,217,221,228
1614,PI 656033,Type4,4,1,16,40116,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,90,NA,NA,NA,NA,218,222,231
438,PI 656022,Type4,4,2,16,40216,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,40,NA,NA,70,NA,100,NA,NA,NA,NA,210,219,229
703,Btx623,Type4,4,3,16,40316,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,209,214,220
973,PI 656052,Type4,4,4,16,40416,LN,NA,NA,0,NA,10,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,217
1243,PI 656005,Type4,4,5,16,40516,LN,NA,NA,0,NA,10,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,212,216
1515,PI 656085,Type4,4,6,16,40616,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
1783,PI 656080,Type4,4,7,16,40716,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,212,216
2053,PI 656047,Type4,4,8,16,40816,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30,NA,90,NA,NA,NA,NA,219,226,231
2323,PI 656015,Type5,4,9,16,40916,LN,NA,NA,0,NA,50,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,215
2593,check,Check,4,10,16,41016,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,210,216,224
2863,PI 656039,Type5,4,11,16,41116,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,30,NA,90,NA,NA,NA,NA,217,226,231
3133,PI 656026,Type5,4,12,16,41216,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,40,NA,NA,50,NA,90,NA,NA,NA,NA,210,224,231
3403,PI 656040,Type5,4,13,16,41316,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,90,NA,NA,NA,226,233,236
3673,PI 656016,Type5,4,14,16,41416,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,95,NA,100,NA,NA,NA,NA,209,214,222
3943,PI 656007,Type5,4,15,16,41516,LN,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,90,NA,100,NA,NA,NA,NA,210,217,224
